DEPTH,CALI,GR,ILD,PEF,RHOB,NPHI,SHALE
5000,8.8,125,2.6,2.6,2.199,0.403,1
5000.5,8.8,129,2.5,2.7,2.209,0.373,1
5001,8.8,133,2.6,2.9,2.232,0.378,1
5001.5,8.8,142,2.8,3.1,2.268,0.386,1
5002,8.7,147,3.1,2.9,2.295,0.375,1
5002.5,8.8,146,3.4,3,2.286,0.358,1
5003,8.7,140,3.5,3.4,2.312,0.36,1
5003.5,8.2,138,3.5,3.1,2.338,0.387,1
5004,8.4,143,3.5,2.7,2.324,0.4,1
5004.5,8.5,145,3.5,2.2,2.258,0.392,1
5005,8.6,143,3.8,2.3,2.231,0.399,1
5005.5,8.6,139,4.3,2.3,2.257,0.397,1
5006,8.7,143,4.8,2.5,2.271,0.408,1
5006.5,8.7,144,5.1,2.7,2.298,0.381,1
5007,8.5,129,5.4,3.6,2.367,0.35,1
5007.5,7.9,100,5.5,3.4,2.452,0.363,1
5008,7.8,79,5.3,2.8,2.358,0.422,1
5008.5,7.8,83,5.5,2.4,2.023,0.467,1
5009,8,99,5.6,2.1,1.891,0.432,0
5009.5,8.8,112,5.4,2.1,1.929,0.368,0
5010,9.4,114,4.9,2.2,2.167,0.347,0
5010.5,9.5,115,4.3,2.2,2.36,0.328,1
5011,9.4,114,3.8,2.5,2.404,0.331,1
5011.5,9.3,115,3.5,2.6,2.418,0.327,1
5012,9.3,114,3.4,2.9,2.459,0.328,1
5012.5,9.2,116,3.3,3,2.478,0.336,1
5013,9.1,115,3.3,3.1,2.47,0.334,1
5013.5,9.1,118,3.3,3,2.452,0.342,1
5014,9.2,117,3.3,2.9,2.439,0.335,1
5014.5,9.2,116,3.2,3,2.458,0.348,1
5015,8.9,113,3.1,3,2.478,0.357,1
5015.5,9,108,3.1,3.2,2.473,0.347,1
5016,9,108,3,3.2,2.474,0.354,1
5016.5,9.2,107,2.9,3.2,2.485,0.372,1
5017,9.1,107,2.9,2.8,2.417,0.415,1
5017.5,9.3,106,2.9,2.8,2.343,0.382,1
5018,9.5,107,2.9,2.6,2.349,0.375,1
5018.5,9.5,111,2.9,2.7,2.408,0.343,1
5019,9.4,111,2.9,2.8,2.419,0.363,1
5019.5,9.4,109,2.9,2.7,2.419,0.357,1
5020,9.3,104,2.9,2.7,2.407,0.356,1
5020.5,9.4,105,2.8,2.6,2.386,0.362,1
5021,9.4,105,2.8,2.8,2.363,0.368,1
5021.5,9.4,107,2.9,3,2.379,0.36,1
5022,9.5,102,2.8,3,2.428,0.342,1
5022.5,9.4,104,2.8,3,2.465,0.364,1
5023,9.4,106,2.8,2.8,2.47,0.379,1
5023.5,9.4,111,2.8,2.6,2.43,0.37,1
5024,9.3,108,2.8,2.7,2.407,0.326,1
5024.5,9.3,106,2.9,2.8,2.427,0.326,1
5025,9.4,108,3,3.2,2.457,0.383,1
